# probe report -- machine-debian-trixie-16341
# taken     : 2026-09-03T23:46:30+02:00
# image     : /home/jean/.shared/DEVEL/repos/MARIONNET-dune-project/website-repo/download/marionnet-install.sh/1.0.x/machine-debian-trixie-16341
# sum       : 16341
# candidates: 2060 (BINARY_LIST of the .conf)
# probes    : help-timeout=5s x-timeout=6s x-only=0
# X server  : DISPLAY=:0 vendor string: The X.Org Foundation X.Org version: 21.1.11 
#
# name	verdict	rc	probe	first line of stderr
findmnt	OK	0	help	
finger	OK	1	help	/usr/bin/finger: invalid option -- '-'
fiwalk	OK	1	help	/usr/bin/fiwalk: invalid option -- '-'
fixfiles	OK	1	help	/usr/sbin/fixfiles: illegal option -- -
fixproc	X_DIED	10	x	/usr/bin/fixproc: no process specified
flashcp	OK	0	help	
flash_erase	OK	0	help	
flash_eraseall	OK	0	help	flash_eraseall has been replaced by `flash_erase <mtddev> 0 0`; please use it
flash_lock	OK	0	help	
flash_otp_dump	ERR	22	help	Usage: flash_otp_dump [ -f | -u ] <device> [<offset>]
flash_otp_erase	ERR	22	help	Usage: flash_otp_erase -u <device> <offset> <size>
flash_otp_info	ERR	22	help	Usage: flash_otp_info [ -f | -u ] <device>
flash_otp_lock	ERR	22	help	Usage: flash_otp_lock -u <device> <offset> <size>
flash_otp_write	ERR	22	help	Usage: flash_otp_write -u <device> <offset>
flash_unlock	OK	0	help	
flex	OK	0	help	
flex++	OK	0	help	
flock	OK	0	help	
fls	OK	1	help	/usr/bin/fls: invalid option -- '-'
fmt	OK	0	help	
fold	OK	0	help	
fonttosfnt	OK	1	help	Usage:
free	OK	0	help	
frm	OK	0	help	
frm.mailutils	OK	0	help	
from	OK	0	help	
from.mailutils	OK	0	help	
fsck	OK	0	help	
fsck.ext2	ERR	16	help	/usr/sbin/fsck.ext2: invalid option -- '-'
fsck.ext3	ERR	16	help	/usr/sbin/fsck.ext3: invalid option -- '-'
fsck.ext4	ERR	16	help	/usr/sbin/fsck.ext4: invalid option -- '-'
fsck.fat	OK	0	help	Usage: /usr/sbin/fsck.fat [OPTIONS] DEVICE
fsck.msdos	OK	0	help	Usage: /usr/sbin/fsck.msdos [OPTIONS] DEVICE
fsck.ubifs	OK	0	version	
fsck.vfat	OK	0	help	Usage: /usr/sbin/fsck.vfat [OPTIONS] DEVICE
fsfreeze	OK	0	help	
fsidd	TIMEOUT	124	help	
fsstat	OK	1	help	/usr/bin/fsstat: invalid option -- '-'
fstab-decode	ERR	127	help	fstab-decode: --help: No such file or directory
fstrim	OK	0	help	
ftl_check	OK	0	help	usage: ftl_check device
